"Sprint","Task Name","Description","Status","Priority","Time Estimate (h)","Day","Tags","Depends On"
"Semana 2 - Tiempos, correo y bot","Worker del bot (bot.ts)","Programa aparte que sincroniza, calcula tiempos y verifica correos; ejecutable por Task Scheduler.","to do","High","5","Dia 10","backend,bot","Sincronizacion inicial a la base local"
"Semana 2 - Tiempos, correo y bot","Reporte de conciliacion","Salida que pide Celsia: por cada NC, si fue notificada, cuando, con que soporte y cuales faltan.","to do","High","4","Dia 10","reporte","Worker del bot (bot.ts)"
"Semana 3 - UI, permisos y cierre","Endpoints internos protegidos","Rutas para stats, alertas, listado/detalle de NC, contratistas y ejecutar auditoria, protegidas por login.","to do","High","5","Dia 11","backend,api","Servicios: estadisticas, alertas y detalle"
"Semana 3 - UI, permisos y cierre","Tablero: tarjetas de semaforo","Pintar las tarjetas con los conteos por color (verde/amarillo/rojo).","to do","High","4","Dia 12","frontend,ui","Endpoints internos protegidos"
"Semana 3 - UI, permisos y cierre","Tabla de alertas","Lista de NCs criticas (rojo/amarillo) ordenadas por urgencia, con dias restantes y motivo.","to do","High","3","Dia 12","frontend,ui","Endpoints internos protegidos"
"Semana 3 - UI, permisos y cierre","Administracion de contratistas y correos","Pantalla para crear/editar contratistas y agregar sus correos.","to do","Normal","4","Dia 13","frontend,ui","Endpoints internos protegidos"
"Semana 3 - UI, permisos y cierre","Detalle de NC + boton Ejecutar auditoria","Vista de una NC con su cruce (plano/informe/correo) y el boton para disparar la auditoria.","to do","Normal","4","Dia 13","frontend,ui","Worker del bot (bot.ts)"
"Semana 3 - UI, permisos y cierre","Roles y permisos en la UI + pulido visual","Definir que ve y hace un supervisor frente a un administrador; pulir la presentacion.","to do","Normal","4","Dia 14","frontend,auth","Usuarios, roles y proteccion de rutas"
"Semana 3 - UI, permisos y cierre","Manejo de errores y estados de carga","Mensajes de error claros y pantallas de carga en toda la app.","to do","Normal","2","Dia 14","frontend",""
"Semana 3 - UI, permisos y cierre","Pruebas de principio a fin","Probar con datos historicos reales que el cruce reproduce notificaciones ya conocidas.","to do","Urgent","4","Dia 15","qa","Worker del bot (bot.ts)"
"Semana 3 - UI, permisos y cierre","Programar el bot diario","Configurar la ejecucion automatica diaria del worker con el Task Scheduler de Windows.","to do","High","2","Dia 15","despliegue","Worker del bot (bot.ts)"
